filename,Event,EventTAG,LAT,LON,DEP,LEN_f,WID,Mw,Mo,STRK,DIP,RAKE,Htop,HypX,HypZ,avTr,avVr,Nx,Nz,Fmin,Fmax,Dx,Dz,Ntw,Nsg,LEN_inv,SHF,SVF,SGM-Data,TELE-Data,TRIL-Data,LEVEL-Data,GPS-Data,INSAR-Data,SURF-Data,OTHER-Data,SGM-PHImx,TELE-PHImx,TRIL-PHImx,LEVEL-PHImx,GPS-PHImx,INSAR-PHImx,SURF-PHImx,OTHER-PHImx,SGM-Rmin,TELE-Rmin,TRIL-Rmin,LEVEL-Rmin,GPS-Rmin,INSAR-Rmin,SURF-Rmin,OTHER-Rmin,BBR-Data,HR-GPS-Data,Hr-GPS-Data,InSAR-Data,Other-Data,SAT-Data,SPOT-Data,hr-GPS-Data,inSAR-Data,level-Data,tril-Data
s2007PAGAII01SLAD.fsp,"Pagai, Indonesia",s2007PAGAII01SLAD,-2.51506,100.91388,45.0,240.0,110.0,7.9,7.94e+20,319.0,19.0,91.32211055794228,27.093749227714216,54.0,55.0,2.2,2.2,20.0,11.0,999.0,999.0,12.0,10.0,999.0,1.0,999.0,999.0,999,0.0,37.0,,,0.0,,,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,,0.0,999.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,0.0,0.0
s2007PISCOP01JIxx.fsp,"Pisco, Peru",s2007PISCOP01JIxx,-13.3758,-76.5213,29.4163,192.0,108.0,8.0,1.12e+21,323.77999999999923,27.0,66.91445945941744,2.85784275117204,138.0,58.5,999.0,999.0,16.0,12.0,999.0,999.0,12.0,9.0,999.0,1.0,999.0,999.0,999,0.0,48.0,,,0.0,,,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,,0.0,999.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,0.0,0.0
s2007PISCOP01KONC.fsp,"Pisco, Peru",s2007PISCOP01KONC,-13.04828,-76.54269,39.0,240.0,160.0,8.0,1.12e+21,324.0,27.0,60.76438675676886,4.950717501302266,198.0,75.0,999.0,999.0,20.0,16.0,999.0,999.0,12.0,10.0,999.0,1.0,999.0,999.0,999,0.0,37.0,,,0.0,,,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,,0.0,999.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,0.0,0.0
s2007SOLOMO01JIxx.fsp,Solomon Islands,s2007SOLOMO01JIxx,-8.4878,156.96359,11.6071,300.0,80.0,8.1,1.58e+21,305.0,24.69999999999993,85.43126381788451,1.160464630994622,67.5,25.0,999.0,999.0,20.0,8.0,0.0,0.5,15.0,10.0,999.0,1.0,160.0,999.0,triangle,0.0,60.0,,,0.0,,,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,,0.0,999.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,0.0,0.0
s2007SOUTHO01HAYE.fsp,South Of Fiji Islands,s2007SOUTHO01HAYE,-26.0,-177.51,152.5,189.0,189.0,7.83,7.23e+20,12.0,9.0,35.68272207346476,137.71,94.5,94.5,2.8,2.5,21.0,21.0,0.0,1.0,9.0,9.0,5.0,1.0,2.2,1.1,asymetriccosine,0.0,70.0,0.0,0.0,0.0,0.0,0.0,,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.25,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
s2007TOCOPI01BEJA.fsp,"Tocopilla, Chile",s2007TOCOPI01BEJA,-22.34,-70.06,51.8,266.0,168.0,7.7,3.98e+20,6.0,20.0,7.1493492853841625,10.106,165.89,82.71,999.0,999.0,19.0,12.0,999.0,999.0,14.0,14.0,999.0,1.0,999.0,999.0,Not-Applicable,0.0,0.0,,,11.0,,,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,,0.0,0.0,999.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,0.0,0.0
s2007TOCOPI01HAYE.fsp,"Tocopilla, Chile",s2007TOCOPI01HAYE,-22.25,-69.89,40.0,200.0,122.5,7.68,4.33e+20,358.0,23.0,92.47171771269323,10.93,105.0,74.38,3.9,2.4,20.0,14.0,0.0,1.0,10.0,8.75,8.0,1.0,2.2,1.1,asymetriccosine,0.0,56.0,0.0,0.0,0.0,0.0,0.0,,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.99,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
s2007TOCOPI01JIxx.fsp,"Tocopilla, Chile",s2007TOCOPI01JIxx,-22.2271,-69.8972,36.9598,375.0,200.0,7.81,5.82e+20,355.0799899999985,16.56000000000003,95.75856044281426,13.018222950120094,172.5,84.0,999.0,999.0,25.0,25.0,999.0,999.0,15.0,8.0,999.0,1.0,999.0,999.0,999,0.0,45.0,,,0.0,,,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,,0.0,999.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,0.0,0.0
s2007TOCOPI01MOTA.fsp,"Tocopilla, Chile",s2007TOCOPI01MOTA,-22.33,-70.11,47.86014450708579,349.92,180.04,7.8,5.62e+20,358.0,20.0,6.175441431139073,-0.0010000000000001,180.64,139.93,999.0,999.0,48.0,28.0,999.0,999.0,7.29,6.43,999.0,1.0,999.0,999.0,Not-Applicable,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,,0.0,0.0,0.0,0.0,0.0,999.0,0.0,,,,,999.0,,,,,,0.0,0.0
s2007TOCOPI01SLAD.fsp,"Tocopilla, Chile",s2007TOCOPI01SLAD,-22.19723,-69.85295,49.65798,162.0,126.0,7.7,3.98e+20,5.0,20.0,85.62525622131415,17.33707935503449,130.5,94.5,1.6,1.6,18.0,14.0,999.0,999.0,9.0,9.0,999.0,1.0,999.0,999.0,999,0.0,38.0,,,0.0,,,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,,0.0,999.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,0.0,0.0
