filename,Nx,Nz,Fmin,Fmax,Dx,Dz,Ntw,Nsg,LEN,SHF,SVF,SGM-Data,TELE-Data,TRIL-Data,LEVEL-Data,GPS-Data,INSAR-Data,SURF-Data,OTHER-Data,SGM-PHImx,TELE-PHImx,TRIL-PHImx,LEVEL-PHImx,GPS-PHImx,INSAR-PHImx,SURF-PHImx,OTHER-PHImx,SGM-Rmin,TELE-Rmin,TRIL-Rmin,LEVEL-Rmin,GPS-Rmin,INSAR-Rmin,SURF-Rmin,OTHER-Rmin,BBR-Data,HR-GPS-Data,Hr-GPS-Data,InSAR-Data,Other-Data,SAT-Data,SPOT-Data,hr-GPS-Data,inSAR-Data,level-Data,tril-Data
s2009PADANG01SLAD.fsp,9.0,9.0,999.0,999.0,6.0,5.0,999.0,1.0,999.0,999.0,999,0.0,50.0,NaN,NaN,0.0,NaN,NaN,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,999.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,0.0,0.0
s2009PADANG02HAYE.fsp,13.0,15.0,0.0,1.0,5.0,4.64,5.0,1.0,1.6,0.8,asymetriccosine,0.0,30.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.91,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
s2009PADANG02SLAD.fsp,8.0,9.0,999.0,999.0,6.0,5.0,999.0,1.0,999.0,999.0,999,0.0,50.0,NaN,NaN,0.0,NaN,NaN,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,999.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,0.0,0.0
s2009PADANG03HAYE.fsp,13.0,15.0,0.0,1.0,5.0,4.64,5.0,1.0,1.6,0.8,asymetriccosine,0.0,30.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.91,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
s2009PAPUAx01HAYE.fsp,15.0,16.0,999.0,999.0,8.0,6.0,999.0,1.0,999.0,999.0,999,0.0,55.0,NaN,NaN,0.0,NaN,NaN,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,999.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,0.0,0.0
s2009PAPUAx02HAYE.fsp,19.0,16.0,0.0,1.0,8.0,6.5,5.0,1.0,1.2,0.6,asymetriccosine,0.0,30.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.44,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
s2009SAMOAx01HAYE.fsp,36.0,12.0,999.0,999.0,5.0,4.09,999.0,1.0,999.0,999.0,999,0.0,67.0,NaN,NaN,0.0,NaN,NaN,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,999.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,0.0,0.0
s2009VANUAT01HAYE.fsp,20.0,16.0,999.0,999.0,10.0,10.0,999.0,1.0,999.0,999.0,999,0.0,53.0,NaN,NaN,0.0,NaN,NaN,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,999.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,0.0,0.0
s2009VANUAT01SLAD.fsp,13.0,12.0,999.0,999.0,7.0,5.0,999.0,1.0,999.0,999.0,999,0.0,25.0,NaN,NaN,0.0,NaN,NaN,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,999.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,0.0,0.0
s2009VANUAT02HAYE.fsp,17.0,18.0,0.0,1.0,8.0,6.56,5.0,1.0,3.2,1.6,asymetriccosine,0.0,48.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.21,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
